Project Name,Writing,Cinematography,Directing,Original Score,Acting,Editing,Sound,Special Effects,Art Direction,Phase,NonMemPct,MemPct,AudncPct,Round,Ballots,CrewCount
A Sonic Indulgence,0.00%,1.53%,2.33%,18.95%,0.77%,5.43%,14.18%,0.00%,3.13%,1,17.20%,29.32%,22.84%,37,176,19
Deepwater,21.32%,16.88%,15.55%,7.11%,16.10%,14.74%,11.03%,2.34%,10.17%,2,15.71%,16.15%,15.99%,37,176,80
Flowers in her Hair,2.28%,0.77%,2.33%,0.79%,4.60%,2.33%,0.00%,0.78%,5.47%,2,3.85%,5.44%,4.87%,37,176,73
Forgiving Moon,15.99%,6.14%,14.77%,11.06%,24.53%,3.88%,4.73%,2.34%,1.56%,2,21.15%,24.32%,23.17%,37,176,20
Ghost in the Gun,28.93%,47.58%,35.76%,41.06%,24.53%,42.68%,50.43%,52.96%,47.70%,2,40.06%,34.48%,36.50%,37,176,141
Got Lost,0.00%,5.71%,0.96%,1.96%,0.00%,0.96%,2.93%,0.00%,2.91%,1,7.53%,8.33%,7.90%,37,176,4
Homecoming,6.61%,1.90%,3.86%,3.92%,4.75%,3.85%,0.98%,0.00%,1.94%,1,16.94%,7.41%,12.50%,37,176,11
Literally DIYing,8.37%,3.07%,10.11%,0.79%,13.03%,3.88%,1.58%,4.67%,4.69%,1,23.92%,25.93%,24.86%,37,176,23
Pacify Her,0.76%,2.30%,1.55%,0.79%,2.30%,5.43%,1.58%,7.01%,1.56%,1,11.56%,9.88%,10.78%,37,176,17
Reserved in Darkness,2.28%,1.53%,1.55%,4.74%,3.83%,4.66%,2.36%,3.89%,0.78%,2,3.85%,3.09%,3.36%,37,176,12
The Circle Jerk,6.61%,4.76%,5.78%,3.92%,0.95%,4.81%,3.91%,2.90%,2.91%,1,18.82%,17.59%,18.25%,37,176,11
Viral Video,0.00%,4.76%,0.00%,0.98%,0.00%,1.92%,0.00%,6.76%,3.88%,1,4.03%,1.54%,2.87%,37,176,2
Zombies of the Bible,6.85%,3.07%,5.44%,3.95%,4.60%,5.43%,6.30%,16.36%,13.29%,2,15.38%,16.52%,16.11%,37,176,81
Bound 4 Heaven,17.91%,6.35%,16.27%,16.40%,23.47%,11.24%,16.69%,1.78%,4.73%,2,24.44%,21.33%,22.60%,36,133,36
Hey Mom,3.16%,2.13%,0.00%,0.00%,0.00%,2.20%,3.27%,0.00%,5.57%,1,20.33%,14.24%,17.62%,36,133,1
Homework,2.11%,3.20%,2.25%,4.54%,1.10%,3.31%,2.18%,1.05%,1.11%,1,15.88%,17.71%,16.69%,36,133,10
Left Heart,35.83%,18.13%,28.72%,15.44%,41.30%,18.73%,11.12%,6.24%,16.09%,2,30.87%,30.00%,30.35%,36,133,61
Moonwalker,4.48%,1.81%,2.87%,7.72%,6.57%,3.75%,3.71%,0.89%,2.84%,1,29.25%,25.00%,27.36%,36,133,36
Resident Manager,10.54%,21.33%,12.38%,9.08%,1.10%,18.73%,15.26%,29.38%,10.02%,1,25.07%,34.38%,29.21%,36,133,14
Scoot Commercial,0.00%,5.33%,1.13%,3.40%,1.10%,5.51%,3.27%,0.00%,0.00%,1,9.47%,8.68%,9.12%,36,133,9
Tried To Make Me Go To Rehab,6.27%,6.35%,5.74%,11.58%,9.39%,14.05%,8.34%,2.68%,3.79%,2,15.43%,22.00%,19.32%,36,133,9
Visitations,19.71%,35.36%,30.63%,31.84%,15.96%,22.48%,36.15%,57.98%,55.85%,2,29.26%,26.67%,27.73%,36,133,81
Anywhere Else,0.00%,2.32%,3.11%,3.33%,1.52%,4.74%,8.37%,33.00%,8.59%,1,14.61%,12.59%,13.89%,35,185,19
Coffee Time with the Bros,2.27%,0.00%,1.55%,1.66%,1.52%,4.74%,0.84%,16.88%,3.12%,1,34.27%,29.93%,32.73%,35,185,7
Game of Chairs,15.45%,2.62%,5.27%,7.07%,9.02%,6.03%,7.11%,3.91%,23.21%,2,22.45%,17.33%,18.87%,35,185,29
InstaFriends,3.86%,8.53%,7.91%,7.77%,5.15%,7.38%,10.66%,5.87%,9.95%,2,10.54%,13.36%,12.51%,35,185,44
Mutable Spirals of Ascension,1.52%,4.63%,2.33%,4.99%,1.52%,7.11%,5.02%,0.77%,4.69%,1,7.30%,11.22%,8.70%,35,185,10
Sarah,9.66%,30.82%,21.76%,35.34%,38.65%,2.68%,18.48%,5.87%,8.62%,2,17.35%,20.85%,19.79%,35,185,15
Sign of the Times,4.51%,1.31%,4.62%,3.53%,3.22%,4.02%,9.24%,2.61%,6.63%,2,8.16%,7.78%,7.90%,35,185,46
Sue By Your Cide,5.31%,1.54%,3.88%,1.66%,0.76%,3.16%,0.84%,0.00%,1.56%,1,32.02%,30.95%,31.64%,35,185,16
The Anniversary,3.22%,0.66%,2.64%,3.53%,1.29%,4.69%,4.26%,0.65%,2.65%,2,4.42%,4.26%,4.31%,35,185,15
The Internet of Food,0.76%,2.32%,0.78%,0.00%,0.00%,3.16%,2.51%,3.07%,3.12%,1,11.80%,15.31%,13.04%,35,185,13
The Interview,53.44%,45.25%,46.15%,31.10%,37.36%,52.30%,32.69%,27.37%,27.85%,2,37.07%,36.42%,36.62%,35,185,31
Awakenings,7.36%,0.58%,1.83%,0.00%,6.21%,6.81%,0.00%,4.42%,2.38%,2,10.33%,11.15%,10.92%,34,218,18
C.Lan,0.67%,0.69%,0.00%,0.74%,0.00%,0.00%,3.66%,0.00%,0.00%,1,4.78%,5.65%,5.08%,34,218,11
Crocodile Tears,9.06%,3.50%,3.05%,6.29%,7.34%,8.04%,3.72%,10.72%,2.98%,2,11.25%,14.27%,13.41%,34,218,35
Detention,2.01%,6.89%,1.44%,0.74%,2.67%,6.58%,7.32%,5.96%,6.34%,1,18.21%,15.48%,17.28%,34,218,16
Fortune Telling Sam episode 1,0.00%,0.00%,1.44%,0.74%,0.00%,0.73%,0.00%,0.00%,0.00%,1,9.10%,12.50%,10.26%,34,218,34
Off Grid Livin' - Episodes 1 and 3,0.00%,4.08%,1.83%,3.77%,1.13%,1.86%,6.20%,0.63%,2.98%,2,7.29%,9.35%,8.77%,34,218,7
Poster Boy,26.04%,13.41%,22.60%,55.94%,16.38%,23.51%,19.83%,28.38%,19.07%,2,29.18%,28.06%,28.37%,34,218,55
Ride or Shine,10.04%,7.58%,18.05%,14.86%,16.03%,8.77%,11.72%,8.20%,7.04%,1,30.09%,28.27%,29.47%,34,218,23
Snaggletooth,29.44%,61.21%,43.97%,13.20%,39.55%,37.12%,44.62%,37.21%,57.80%,2,41.95%,37.17%,38.52%,34,218,37
Sympathy on a Platter,15.39%,2.07%,5.77%,3.71%,10.68%,6.58%,2.93%,4.47%,1.41%,1,37.81%,38.10%,37.91%,34,218,27
106°  F,3.00%,5.12%,4.68%,5.94%,2.66%,4.42%,5.18%,0.78%,1.62%,1,14.52%,10.43%,11.38%,33,316,39
A Thief in the Night,0.38%,6.31%,0.39%,1.58%,0.00%,2.41%,5.98%,14.91%,4.85%,1,7.12%,4.17%,4.86%,33,316,19
Jacob & Malika,12.38%,14.58%,10.53%,11.09%,7.97%,10.84%,10.37%,4.32%,6.88%,1,16.99%,16.01%,16.24%,33,316,47
Just Kidding,9.07%,3.36%,8.32%,6.19%,15.11%,6.85%,4.54%,2.79%,2.88%,2,9.75%,20.97%,17.73%,33,316,64
Memento Mori,10.13%,5.04%,6.66%,5.63%,4.86%,2.85%,5.67%,3.35%,6.33%,2,15.09%,12.66%,13.36%,33,316,49
Money Monkey,7.47%,3.36%,8.88%,8.44%,7.02%,10.85%,10.77%,3.91%,5.18%,2,9.12%,19.05%,16.18%,33,316,23
Pulse,1.88%,3.55%,2.34%,1.98%,5.32%,2.41%,2.79%,2.35%,3.24%,1,7.95%,13.18%,11.96%,33,316,30
Soap & Shadows,16.50%,12.22%,9.36%,7.92%,12.53%,9.64%,9.97%,10.99%,19.01%,1,26.85%,29.77%,29.09%,33,316,32
Teen Chef USA Pilot,3.20%,3.36%,5.55%,3.38%,1.08%,13.13%,0.57%,1.12%,2.88%,2,11.32%,6.65%,8.00%,33,316,67
The Ghosts of Highway 20,5.87%,10.65%,4.44%,14.07%,5.94%,4.00%,9.07%,14.51%,7.48%,2,15.09%,6.27%,8.82%,33,316,41
The Listening Party,4.88%,6.31%,7.41%,5.94%,5.69%,6.02%,5.98%,2.75%,4.45%,1,5.48%,10.93%,9.65%,33,316,20
The Pilgrimage,9.60%,12.89%,11.10%,4.50%,16.73%,9.14%,5.10%,0.56%,2.30%,2,12.26%,14.96%,14.18%,33,316,38
Wasp-Men from Mars!,8.53%,10.09%,13.31%,18.58%,8.64%,11.42%,20.41%,35.71%,30.49%,2,27.36%,19.44%,21.73%,33,316,75
Whorehouse Adventure,7.13%,3.15%,7.02%,4.75%,6.45%,6.02%,3.59%,1.96%,2.43%,1,21.10%,15.51%,16.82%,33,316,35
D for Docs,41.58%,13.58%,37.89%,16.14%,32.16%,27.62%,25.78%,26.83%,34.06%,2,42.46%,38.51%,39.97%,32,215,25
Driving While Undocumented,6.89%,12.44%,9.80%,8.54%,17.68%,5.69%,8.57%,0.64%,7.75%,1,34.84%,32.71%,33.99%,32,215,39
Femme Fatale,1.14%,8.49%,1.67%,4.18%,1.11%,2.88%,2.40%,5.83%,8.81%,2,3.71%,4.32%,4.10%,32,215,11
Old Friend,3.76%,10.57%,4.29%,2.63%,5.49%,3.80%,8.57%,3.21%,6.46%,1,15.00%,12.00%,13.80%,32,215,11
